SkillList
"HTML,Core Java"
"MQ Developer,Linux"
"Java,Selenium,Test Automation,C#,Cucumber, Behat"
"Test Automation,Cucumber, Behat,Java 7,Selenium"
SAS
"API Integrations- REST, SOAP , Powershell"
"SAS,Decision Strategy Manager"
SAS
Kafka
Web Development
Pega
Mulesoft ESB
Pega
CRM - Salesforce.com
Adobe
Ab Initio
"Vision Plus,Java (Multi Skilled),Java"
"Financial Services,Banking - Payments"
"Java,JavaScript"
Backbase
HTML
(T) Mobile Development Technologies
"Sourcing,(T) Project Tools, Methodologies and Frameworks"
Microsoft.Net
"Pivotal Cloud Foundry  - Build and Administration,Spring,Java (Multi Skilled),Java"
Angular.js
Supply Chain Management
Filenet
C# .NET
Java (Multi Skilled)
OBIEE
Backbase
Business Analytics
"BigData,Cloud"
Performance Testing
"JPA,DB2,PL SQL,Webservices,Hibernate,Spring,J2EE"
"MS VSTS Coded UI,CRM – MS Dynamics CRM,Selenium"
(T) Testing Tools / Testing Automation / Performance Testing Tools
Functional Testing
Java
"Selenium,Testing Manual"
Project Management Framework
Testing Manual
"API Integrations- REST, SOAP , Powershell"
(T) Testing Tools / Testing Automation / Performance Testing Tools
"ADO.NET3.5,SQL,Microsoft.Net"
".Net with MVC,Cloud"
.Net 2.1
SAS
Java
UiPath
"C#,jQuery,C,Angular.js,Agile,.Net with MVC"
Pega
SAS
SAS
"Selenium,Test Automation,Cucumber, Behat,Webservices"
".Net 1.2,Microsoft SQL Server,Linux,Windows,SQL,Agile"
Tableau
Core Banking
Pega
Finacle
Hadoop-Spark
"SQL,UI,Spring,Hadoop-Spark,MAVEN,Core Java"
Core Java
Jenkins
Hadoop
"Webservices,Angular.js"
Java (Multi Skilled)
iOS Development
SQL Server 2016 SSAS
"Splunk,SQL,LOAD RUNNER"
Security - Certified Information Systems Security Professional (CISSP)
(T) Testing Tools / Testing Automation / Performance Testing Tools
Functional Testing
"Angular.js,Java (Multi Skilled)"
"(T) Relational Databases,PL SQL,Unix,SQL,ETL Testing"
"Hibernate,Banking,Spring,Java,Java (Multi Skilled)"
Banking - Payments
"Jenkins,J2EE,Banking,Java (Multi Skilled),Java"
"Automation - Chef, Puppet,Jenkins,Unix,J2EE,Banking,Java (Multi Skilled),Java"
"Banking,Angular.js"
"SQL,ETL Testing"
CRM - Salesforce.com
Informatica MDM (formerly Syperian)
Thunderhead
Cards Issuing
"J2EE,Spring,Hibernate,REST"
"J2EE,Spring,Hibernate,Agile"
"Java,Selenium,Cucumber, Behat,C#,CSS,Test Automation"
Java
Java
Informatica BI
Business Analytics
"SOA,Webservices,LISA"
"Java,J2EE,Cloud"
Agile
"Project Management Framework,JDE Project Management Contract and Service Billing"
"Java (Multi Skilled),Java"
Temenos
BPM
BPM
"Java (Multi Skilled),Java"
Informatica BI
"Hadoop,BigData"
Ab Initio
Core Banking
Financial Accounting
.Net with MVC
BLUE PRISM
BLUE PRISM
(T) Data Science and Analytics
MF
Customer Experience
Microsoft.Net
"Java (Multi Skilled),Java"
Business Operations
"Microsoft Office,Oracle EBS HCM Core HR"
"Test Director,Quality (CMMi Model),Quality,ETL Testing,Quality (CSQA certification),Microsoft.Net,Test Case Execution"
"(T) Project Tools, Methodologies and Frameworks"
Siebel EIM
ITIL (V2) Service Delivery
"(D) Cards,Dispute Management"
Informatica BI
Informatica BI
Informatica PowerCenter
Salesforce (Functional)
Angular.js
"Unix,Informatica BI,Pivotal Greenplum,Oracle Analytics"
.Net (WPF)
Jenkins
ETL
IBM Datastage
Angular.js
Testing Manual
(T) Relational Databases
(T) Relational Databases
ETL Testing
Mobile
ETL Testing
Selenium
Selenium
Guidewire
Test Automation
P&C Insurance
"(Consulting) - Business Analysis, Requirements"
HP Exstream
Java
Talend
Guidewire
Microsoft SQL Server Integration Services (SSIS)
HP Performance Center
Performance Testing
Guidewire PolicyCenter
"Core Java,Java"
BLUE PRISM
HP Exstream
"Oracle RDBMS,Hibernate,Spring,Core Java"
PMO (Project)
Java
Java
Java
"WSS 3.1,Sharepoint 2010,MOSS 2007"
"Core Java,Java"
Java
Java
Test Automation
