SkillList
Keynote DeviceAnywhere
"Java,Selenium,Test Automation,C#,Cucumber, Behat"
Java
"SOA,Webservices,LISA"
PeopleSoft Technical
Java
User Experience
"Java,JavaScript"
Microsoft.Net
Microsoft.Net
"Java (Multi Skilled),Java"
Temenos
Business Operations
"Financial Accounting,Oracle RDBMS"
Test Environment Management
Informatica PowerCenter
Informatica PowerCenter
V+
Angular.js
"(Consulting) - Business Analysis, Requirements"
Angular.js
"BLUE PRISM,Robotic Business Process"
Pega
(T) Relational Databases
ETL Testing
HP Loadrunner
Java
Functional Testing
Functional Testing
Java
Informatica BI
ETL Testing
"WSS 3.1,Sharepoint 2010,MOSS 2007"
Testing - ETL
Java
Angular.js
Test Automation
Testing Manual
VisionPlus FAS
Java
Java
Selenium
Microsoft SQL Server Integration Services (SSIS)
SQL REPORTING SERVICES
Angular.js
"COBOL,Mainframe Development Environment"
"Test Planning,Informatica BI,Test Reporting,Perl,Test Case Execution,Unix,ETL"
"Selenium,Test Automation,Cucumber, Behat,Webservices"
"SAP BI,WEBI"
"Java,SQL,Hibernate,Spring Batch,Spring Security"
IBM Worklight
"(T) Data and Semantic Modelling,TeraData Logical Modeler"
SAP ABAP
Finacle
"Oracle 10g,Unix Shellscript,PL SQL"
"Mainframe applications,DB2,COBOL 74"
"XSLT2.0,JSON,Java (Multi Skilled),Java,BPM"
"Unix,DB2"
Java
"JSON,JavaScript,Java (Multi Skilled),Java,Adobe"
"SQL,PYTHON,VBA"
"BigData,J2EE,Hadoop"
"IBM,Cognos"
VBA Excel Business Analyst
"Test Automation,Banking,Quick Test Pro"
"Angular.js,Java (Multi Skilled),Java"
"Banking,Temenos"
"Banking,Temenos"
"Banking,Temenos"
"Banking,Spring,Core Java"
Functional Testing
"Informatica PowerCenter,Hadoop-hortonworks"
"Angular.js,Jboss"
Informatica MDM (formerly Syperian)
"Insurance,Guidewire"
Peoplesoft (ERP)
"UI,UI Customization,Backbone.js"
Testing Manual
Ab Initio
"Oracle Identity Management (OAM, OID, Webgate, AccessGate)"
Kafka
Mainframe Development Environment
"Java,J2EE,Cloud"
Defect Tracking
"SOA,Webservices,LISA"
TOSCA
"Test Environment Management,Pega"
PMO (Project)
"ETL Testing,Amazon Web services - Build , Administration and integration,SAS Programming - Base & Advance,Banking Platform"
"Spring Batch,Hibernate,Spring,Java (Multi Skilled),Java"
"Amazon Web services - Build , Administration and integration"
Adobe
Ab Initio
Ab Initio
Microsoft.Net
Insurance
Guidewire ClaimCenter
Informatica PowerCenter
"SQL,Java (Multi Skilled),Java"
"Agile,Scrum"
ETL
Java
Japanese
Java
Functional Testing
Selenium
Testing - ETL
"API Integrations- REST, SOAP , Powershell"
Microservices Architecture
Microservices Architecture
ElasticSearch
Tableau
Project Management Framework
Testing Manual
"Informatica BI,Informatica Data Quality (IDQ)"
J2EE
"Java (Multi Skilled),Java"
Java
"J2EE,Java (Multi Skilled),Java,Filenet"
Java
"(D) Capital Markets Sector,Financial Services"
"(D) Capital Markets Sector,Financial Services"
"(D) Capital Markets Sector,Financial Services"
"(D) Capital Markets Sector,Financial Services"
"(D) Capital Markets Sector,Financial Services"
(T) Testing Tools / Testing Automation / Performance Testing Tools
(T) Testing Tools / Testing Automation / Performance Testing Tools
(T) Testing Tools / Testing Automation / Performance Testing Tools
.Net (WF)
.Net (WF)
.Net (WF)
.Net with MVC
.Net with MVC
.Net with MVC
.Net with MVC
.Net with MVC
"API Integrations- REST, SOAP , Powershell"
"API Integrations- REST, SOAP , Powershell"
"API Integrations- REST, SOAP , Powershell"
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Ab Initio
Adobe
Adobe
Adobe
Adobe
Agile
Agile
Agile
Agile
Agile
"Agile,ETL,AWS Redshift,PYTHON"
"Agile,ETL,AWS Redshift,PYTHON"
